"doc_id","sentence_id","word","brand"
28,2,"sweet","bj"
28,2,"container","bj"
28,2,"blondie","bj"
28,2,"disappointing","bj"
28,2,"previous","bj"
28,2,"overly","bj"
28,2,"salty","bj"
28,4,"buy","bj"
28,4,"blondie","bj"
28,4,"ambition","bj"
29,1,"like","bj"
29,1,"flavor","bj"
29,2,"disappointing","bj"
29,3,"halfway","bj"
29,3,"pint","bj"
29,3,"pretty","bj"
29,3,"disappear","bj"
29,4,"top","bj"
29,4,"disperse","bj"
29,4,"evenly","bj"
29,5,"salty","bj"
29,5,"taste","bj"
29,6,"piece","bj"
29,6,"find","bj"
29,6,"entire","bj"
29,6,"pint","bj"
30,1,"find","bj"
30,1,"pint","bj"
30,2,"rest","bj"
30,2,"fabulous","bj"
30,2,"thing","bj"
31,1,"major","bj"
31,1,"craving","bj"
31,2,"store","bj"
31,3,"excited","bj"
31,3,"flavor","bj"
31,3,"bite","bj"
31,3,"gag","bj"
31,4,"salty","bj"
31,5,"sad","bj"
31,6,"waste","bj"
31,6,"happy","bj"
31,6,"purchase","bj"
32,1,"buy","bj"
32,1,"night","bj"
32,1,"like","bj"
32,1,"fleck","bj"
32,1,"blondie","bj"
32,2,"like","bj"
32,2,"photo","bj"
32,3,"combination","bj"
32,3,"salty","bj"
32,3,"disappointing","bj"
32,4,"extend","bj"
32,4,"bottom","bj"
32,4,"eat","bj"
32,4,"find","bj"
33,1,"like","bj"
33,1,"flavor","bj"
33,2,"store","bj"
33,2,"favorite","bj"
33,2,"flavor","bj"
33,2,"description","bj"
33,2,"sound","bj"
33,2,"great","bj"
33,3,"salty","bj"
33,4,"end","bj"
33,4,"scoop","bj"
33,5,"piece","bj"
33,5,"flavor","bj"
33,6,"disappoint","bj"
33,6,"guess","bj"
33,6,"everything","bj"
34,1,"taste","bj"
34,1,"like","bj"
34,1,"happy","bj"
34,2,"ratio","bj"
34,2,"addition","bj"
34,2,"bad","bj"
34,2,"ratio","bj"
34,2,"salty","bj"
34,2,"handle","bj"
34,3,"fix","bj"
34,3,"blonde","bj"
34,3,"bit","bj"
34,3,"delicious","bj"
35,1,"excite","bj"
35,1,"love","bj"
35,1,"blondie","bj"
35,1,"flavor","bj"
35,1,"strongly","bj"
35,1,"dislike","bj"
35,3,"salty","bj"
35,3,"make","bj"
35,3,"feel","bj"
35,3,"kind","bj"
35,3,"sick","bj"
35,4,"taste","bj"
35,5,"base","bj"
35,5,"alright","bj"
35,5,"guess","bj"
35,6,"dissapointe","bj"
35,7,"flavor","bj"
35,7,"fix","bj"
35,7,"stop","bj"
35,7,"make","bj"
38,1,"blondie","bj"
38,1,"sweet","bj"
38,1,"nice","bj"
38,1,"fan","bj"
38,1,"salty","bj"
38,2,"multiple","bj"
38,2,"salty","bj"
38,3,"tweak","bj"
38,3,"recipe","bj"
38,4,"salty","bj"
39,1,"love","bj"
39,1,"adore","bj"
39,1,"decadent","bj"
39,2,"excellent","bj"
39,2,"piece","bj"
39,2,"yummy","bj"
39,2,"taste","bj"
39,2,"salty","bj"
39,3,"suppose","bj"
39,3,"compliment","bj"
39,3,"overpower","bj"
39,4,"pretty","bj"
39,4,"disappointed","bj"
40,1,"love","bj"
40,2,"super","bj"
40,2,"excited","bj"
40,3,"salty","bj"
40,4,"sweet","bj"
40,4,"salty","bj"
40,5,"delicious","bj"
43,1,"sort","bj"
43,1,"mistake","bj"
43,1,"amount","bj"
43,2,"saint","bj"
43,2,"desert","bj"
43,3,"pint","bj"
43,3,"freezer","bj"
43,4,"side","bj"
43,4,"note","bj"
43,4,"make","bj"
44,1,"flavor","bj"
44,1,"time","bj"
44,2,"week","bj"
44,2,"ago","bj"
44,2,"delicious","bj"
44,3,"today","bj"
44,3,"disappointed","bj"
44,4,"salty","bj"
44,4,"pint","bj"
44,5,"people","bj"
44,5,"agree","bj"
44,5,"salty","bj"
44,6,"buy","bj"
45,1,"lover","bj"
45,1,"thing","bj"
45,1,"blonde","bj"
45,1,"bite","bj"
45,1,"delicious","bj"
45,1,"find","bj"
45,1,"eat","bj"
45,1,"salty","bj"
45,2,"taste","bj"
45,2,"like","bj"
45,2,"flavor","bj"
45,3,"disappointed","bj"
45,3,"flavor","bj"
47,1,"daughter","bj"
