"doc_id","word","brand"
38,"nice","bj"
38,"fan","bj"
38,"salty","bj"
38,"multiple","bj"
38,"salty","bj"
38,"tweak","bj"
38,"recipe","bj"
38,"salty","bj"
39,"love","bj"
39,"adore","bj"
39,"decadent","bj"
39,"excellent","bj"
39,"piece","bj"
39,"yummy","bj"
39,"taste","bj"
39,"salty","bj"
39,"suppose","bj"
39,"compliment","bj"
39,"overpower","bj"
39,"pretty","bj"
39,"disappointed","bj"
40,"love","bj"
40,"super","bj"
40,"excited","bj"
40,"salty","bj"
40,"sweet","bj"
40,"salty","bj"
40,"delicious","bj"
43,"sort","bj"
43,"mistake","bj"
43,"amount","bj"
43,"saint","bj"
43,"desert","bj"
43,"pint","bj"
43,"freezer","bj"
43,"side","bj"
43,"note","bj"
43,"make","bj"
44,"flavor","bj"
44,"time","bj"
44,"week","bj"
44,"ago","bj"
44,"delicious","bj"
44,"today","bj"
44,"disappointed","bj"
44,"salty","bj"
44,"pint","bj"
44,"people","bj"
44,"agree","bj"
44,"salty","bj"
44,"buy","bj"
45,"lover","bj"
45,"thing","bj"
45,"blonde","bj"
45,"bite","bj"
45,"delicious","bj"
45,"find","bj"
45,"eat","bj"
45,"salty","bj"
45,"taste","bj"
45,"like","bj"
45,"flavor","bj"
45,"disappointed","bj"
45,"flavor","bj"
47,"daughter","bj"
47,"pick","bj"
47,"flavor","bj"
47,"love","bj"
47,"carmel","bj"
47,"bad","bj"
47,"flavor","bj"
47,"blonde","bj"
47,"bland","bj"
47,"carmel","bj"
47,"bad","bj"
47,"salty","bj"
47,"eat","bj"
48,"love","bj"
48,"excited","bj"
48,"salty","bj"
48,"eat","bj"
48,"salty","bj"
48,"flavor","bj"
48,"powerful","bj"
48,"disappointed","bj"
49,"time","bj"
49,"today","bj"
49,"salty","bj"
49,"salty","bj"
49,"enjoy","bj"
49,"leave","bj"
49,"bad","bj"
49,"taste","bj"
49,"positive","bj"
49,"note","bj"
49,"gooey","bj"
49,"easy","bj"
49,"scoop","bj"
49,"spoon","bj"
50,"stand","bj"
50,"flavor","bj"
50,"like","bj"
50,"eat","bj"
50,"stale","bj"
50,"minority","bj"
50,"stop","bj"
50,"convenience","bj"
50,"store","bj"
50,"carry","bj"
50,"type","bj"
51,"hope","bj"
51,"flavor","bj"
51,"carmel","bj"
51,"salty","bj"
51,"hope","bj"
51,"sweet","bj"
51,"kraft","bj"
51,"taste","bj"
51,"blonde","bj"
51,"bite","bj"
51,"traditional","bj"
51,"flavor","bj"
51,"buy","bj"
52,"love","bj"
52,"horrible","bj"
52,"picture","bj"
52,"like","bj"
52,"ton","bj"
52,"tiny","bj"
52,"bite","bj"
52,"pint","bj"
52,"overly","bj"
52,"salty","bj"
53,"favourite","bj"
53,"flavour","bj"
53,"salty","bj"
53,"blondie","bj"
53,"bit","bj"
