doc_id,brand,X1,X2,y_dmm_5,y_kmeans_5,y_manual_5,y_dmm_10,y_kmeans_10
18755,breyers,14.998662,-1.0761669,1,0,3,2,1
18756,breyers,23.689056,21.94324,2,1,3,8,4
18757,breyers,29.25864,-0.005631299,1,1,2,8,4
18758,breyers,-19.412607,-0.37804508,0,1,0,7,4
18759,breyers,20.33165,-20.878855,1,1,4,8,4
18760,breyers,36.058002,-7.761268,2,1,0,8,4
18761,breyers,32.53774,-5.4381537,2,1,0,8,4
18762,breyers,22.53275,-7.2533326,3,1,4,8,4
18763,breyers,36.09075,-4.9556966,2,1,0,8,4
18764,breyers,21.892132,19.143475,2,1,0,8,4
18765,breyers,21.835062,-8.843018,0,1,0,4,4
18766,breyers,-1.7081037,34.065224,1,4,0,4,8
18767,breyers,11.195094,9.294902,2,0,3,1,1
18768,breyers,32.6189,-13.408407,2,1,0,8,4
18769,breyers,16.467974,5.8371205,2,0,3,8,1
18770,breyers,-14.430367,-7.8132663,0,0,0,2,1
18771,breyers,-28.138975,-10.082585,0,2,0,4,6
18775,breyers,38.528896,-17.870836,2,1,4,1,4
18776,breyers,-13.485048,28.506067,1,4,0,4,8
18777,breyers,-47.073742,6.0574503,2,2,0,1,6
18781,breyers,6.5954585,-13.585699,0,1,1,6,4
18783,breyers,20.665192,24.390625,1,1,4,2,4
18785,breyers,6.0555067,25.971668,3,0,0,4,1
18787,breyers,39.28778,1.0562608,1,0,3,7,1
18789,breyers,1.1069536,-5.726843,2,1,0,8,4
18793,breyers,-14.102425,25.556786,0,4,0,6,8
18794,breyers,0.37439433,-0.20679651,2,1,0,7,4
18795,breyers,-3.9205573,39.796154,2,4,0,4,8
18801,breyers,-15.641093,33.073055,2,4,0,4,6
18804,breyers,-22.247488,-27.696835,0,1,0,5,3
18805,breyers,-8.2251425,-1.2838081,1,4,0,7,2
18811,breyers,-36.65489,-0.5293016,0,2,0,5,6
18813,breyers,28.693346,-8.98262,1,1,2,5,4
18814,breyers,-39.416134,-4.145033,0,2,0,6,6
18816,breyers,28.95953,-1.2180929,2,1,3,4,4
18823,breyers,4.7489243,8.429183,3,0,0,4,1
18829,breyers,-6.211381,36.232025,1,4,0,4,8
18834,breyers,32.33421,-5.452244,0,1,0,5,4
18835,breyers,36.85338,-8.235434,2,1,0,8,3
18837,breyers,25.077496,-1.8522575,0,1,0,3,4
18840,breyers,8.911902,26.297785,2,4,0,6,8
18841,breyers,38.618763,-17.008135,3,1,4,1,4
18842,breyers,-19.387154,-28.04931,1,1,0,4,3
18849,breyers,-12.02932,-29.127928,0,1,3,6,3
18852,breyers,33.66082,-1.3317678,2,1,2,1,4
18854,breyers,8.143977,-14.663909,0,1,1,6,4
18859,breyers,3.7332087,-3.0060246,2,1,0,5,4
18863,breyers,-22.502964,1.649413,2,1,0,1,4
18873,breyers,36.710155,-7.36493,1,1,1,6,4
18876,breyers,-19.363396,-17.009644,0,1,0,5,3
18878,breyers,21.209257,21.081203,2,1,0,8,4
18883,breyers,6.9323115,-14.202368,0,1,1,6,4
18885,breyers,27.875963,-6.253582,4,1,0,8,4
18886,breyers,22.595982,17.613598,0,1,2,5,4
18890,breyers,21.32983,16.790009,0,1,0,6,4
18891,breyers,-4.131202,24.816902,0,1,0,6,3
18893,breyers,-26.82214,6.6822696,0,1,0,6,4
18906,breyers,-13.105361,-31.612324,1,1,0,6,3
18908,breyers,-1.9290301,-19.619547,0,1,0,6,4
18910,breyers,-23.212046,-17.728855,0,1,0,6,3
18918,breyers,22.87624,1.7604189,0,1,0,5,4
18920,breyers,28.423721,-12.876636,3,1,0,3,4
18933,breyers,23.018084,1.8899574,3,1,0,1,4
18935,breyers,-3.2390563,38.069206,2,4,0,4,8
18943,breyers,-15.753603,-32.77459,3,1,0,5,3
18949,breyers,-28.559084,5.5096216,0,1,1,5,4
18952,breyers,-5.2862887,23.26485,0,1,0,6,3
18969,breyers,-9.897413,-25.730597,0,1,1,6,3
18971,breyers,31.398586,-16.496927,0,1,0,6,3
18973,breyers,-43.7531,10.894812,0,2,0,6,6
18980,breyers,-41.502956,-1.9074678,0,2,0,6,6
18983,breyers,-6.790825,40.27935,0,4,0,4,8
18984,breyers,14.890372,-15.720476,0,1,0,6,4
18990,breyers,-17.785528,-7.1879916,1,1,3,7,0
18991,breyers,-30.31107,-23.80144,4,0,0,9,3
18995,breyers,-14.183913,-36.30768,2,1,4,8,3
18997,breyers,-15.396978,-28.751028,0,1,4,6,3
19000,breyers,25.670158,6.437881,2,1,4,7,4
19001,breyers,-39.291744,7.5994716,0,2,0,6,6
19005,breyers,-3.7656963,19.690632,0,0,1,6,3
19006,breyers,-41.29797,9.052759,0,2,0,6,6
19007,breyers,16.271662,26.23149,0,0,0,5,1
19008,breyers,24.334654,26.94089,0,1,0,2,3
19012,breyers,-6.472109,21.241459,0,4,0,6,3
19013,breyers,-43.447647,10.996023,0,2,0,6,6
19014,breyers,-29.581343,-6.3996077,2,0,3,1,1
19017,breyers,35.87862,8.070273,0,0,3,6,1
19019,breyers,-3.3004158,41.79801,0,4,0,5,8
19021,breyers,23.322384,-8.321419,2,1,0,8,4
19022,breyers,-16.508001,-1.882771,0,1,0,6,4
19024,breyers,-28.075382,-24.780874,0,2,0,6,3
19026,breyers,14.259566,10.985706,0,0,0,6,1
19029,breyers,-21.95156,-32.66847,0,1,0,6,3
19033,breyers,33.678246,4.6778097,0,1,0,6,4
19039,breyers,34.832367,7.1886396,0,0,3,6,1
19040,breyers,-21.263395,-28.586668,0,1,2,5,3
19046,breyers,-24.266949,-17.081861,0,1,0,6,3
19047,breyers,34.773407,8.826795,0,1,0,6,4
19051,breyers,25.761644,-11.297455,0,1,2,2,4
19053,breyers,41.52415,-0.82996255,4,1,4,3,4
19060,breyers,12.600992,9.522308,2,0,3,8,1
19061,breyers,-31.850475,-23.816011,0,1,0,6,3
19063,breyers,0.1387504,30.534546,2,4,0,3,8
19064,breyers,0.87116593,-0.09650636,4,1,0,9,4
19065,breyers,-38.65897,15.356336,2,2,0,8,6
19066,breyers,-25.541965,13.511196,2,1,0,4,4
19067,breyers,22.342308,10.351789,2,0,3,1,1
19069,breyers,30.323812,-1.3661369,2,1,4,1,4
19070,breyers,14.852033,5.709749,1,0,3,2,1
19071,breyers,1.9887614,20.255571,1,0,0,5,1
19072,breyers,-18.412254,-27.358095,0,1,2,6,3
19073,breyers,-32.12994,-17.946785,2,1,0,8,3
19074,breyers,11.548826,4.4095664,2,0,3,8,1
19075,breyers,-12.987297,-29.195833,4,1,0,9,3
19076,breyers,0.61637354,0.37353694,0,1,0,6,4
19077,breyers,26.535778,5.494452,1,1,1,8,4
19078,breyers,23.473055,-8.176725,0,1,4,8,4
19079,breyers,-11.616987,24.952814,2,4,0,3,8
19081,breyers,4.315717,1.7858626,3,1,0,1,4
19082,breyers,-29.433367,16.44008,0,1,0,2,4
19083,breyers,-27.95822,1.5435485,1,1,0,1,4
19090,breyers,2.939062,29.436842,0,4,3,5,8
19094,breyers,-20.086586,-26.142946,0,1,0,6,3
19096,breyers,2.4182258,-10.722902,0,1,1,6,4
19098,breyers,-25.578314,9.871626,0,1,0,5,4
19100,breyers,-27.628874,-16.673622,0,1,0,6,3
19108,breyers,-27.637383,-16.73589,3,1,0,6,3
19109,breyers,-25.617504,3.2412658,2,1,0,8,4
19110,breyers,-16.988995,-27.527378,0,1,1,6,3
19111,breyers,-4.525676,0.222251,0,1,0,6,4
19112,breyers,-17.62505,-29.097885,0,1,0,7,3
19114,breyers,-14.964053,9.692053,0,1,0,5,4
19118,breyers,8.853918,-14.483511,0,1,1,6,4
19121,breyers,8.899318,-3.105197,2,0,3,8,2
19125,breyers,13.706388,38.36565,0,4,0,6,8
19138,breyers,8.657393,21.775726,1,4,0,9,5
19139,breyers,37.727802,-19.224823,2,1,4,0,4
19141,breyers,-31.117186,18.64547,0,1,1,6,4
19147,breyers,-1.0582668,35.52009,2,4,0,6,8
19154,breyers,12.205736,23.58053,0,1,1,6,4
19155,breyers,-7.1331615,-20.13679,0,1,1,6,3
19156,breyers,-12.049,29.499146,0,4,0,6,8
19157,breyers,-18.96959,-16.733603,1,4,0,5,3
19158,breyers,-26.350199,-24.067421,0,1,0,6,3
19160,breyers,-12.180329,-4.248263,1,1,0,8,2
19163,breyers,32.911396,-7.729219,4,1,0,3,4
19166,breyers,-4.696527,-5.2012444,0,1,0,6,2
19169,breyers,-12.933216,3.0057423,1,0,0,7,1
19173,breyers,-36.00492,8.898301,2,2,1,5,6
19178,breyers,19.75297,-5.993172,2,1,0,6,4
19183,breyers,22.59762,-16.261612,0,1,0,6,4
19189,breyers,1.4414762,-18.373255,0,1,0,2,4
19194,breyers,-30.019611,4.8433776,0,1,0,7,4
19195,breyers,-25.254162,-23.64321,0,1,0,6,3
19200,breyers,-34.2398,20.873547,4,2,3,9,0
19201,breyers,-23.986721,17.24392,4,1,4,8,4
19202,breyers,-24.350048,10.868961,3,1,0,1,4
19203,breyers,-44.0373,6.045822,2,2,0,5,6
19204,breyers,-37.337723,13.425029,1,2,0,5,6
19211,breyers,-12.160848,28.5688,2,4,0,6,8
19214,breyers,-14.393672,12.234238,2,1,0,7,4
19223,breyers,-39.913914,-1.4116784,2,2,0,5,6
19224,breyers,19.191301,-6.359123,3,1,0,6,4
19225,breyers,-15.82769,9.645609,0,1,0,5,4
19237,breyers,-15.790463,9.836226,1,1,0,4,4
19238,breyers,-26.747276,6.0764046,2,1,0,4,4
19239,breyers,34.229908,-0.8869414,3,0,4,3,2
19240,breyers,-11.697713,8.0078745,3,0,0,1,1
19242,breyers,3.8437023,42.10418,3,4,0,3,8
19243,breyers,-6.4003773,38.768322,2,4,0,3,8
19244,breyers,1.0055773,2.056368,2,1,0,1,4
19245,breyers,-20.096186,1.0724392,1,1,0,7,4
19246,breyers,12.3417,-18.708424,2,1,0,6,4
19247,breyers,-27.44509,-11.789756,1,2,0,3,6
19248,breyers,11.661602,40.227444,4,4,3,9,5
19249,breyers,33.00872,-13.4013405,4,1,3,3,4
19250,breyers,27.040163,20.125525,1,1,1,4,4
19251,breyers,-2.1112368,5.6524024,3,4,0,1,8
19252,breyers,3.3945484,36.098923,2,4,0,4,8
19253,breyers,17.272566,-28.830511,3,1,0,5,4
19254,breyers,-3.061719,8.352312,1,4,0,4,8
19255,breyers,-1.7568991,3.1651707,1,1,0,5,4
19256,breyers,-12.0106325,-20.15574,3,1,4,4,3
19257,breyers,22.500544,-11.761054,3,1,0,0,4
19258,breyers,5.930131,42.94674,4,4,3,9,8
19259,breyers,18.16527,25.23557,3,4,3,5,8
19261,breyers,-40.029007,1.0017413,2,2,0,0,6
19263,breyers,-11.399196,23.781202,2,4,0,4,8
19267,breyers,23.277,-9.172225,3,1,0,0,4
19273,breyers,37.47972,-17.805117,3,1,0,0,4
19276,breyers,-3.6789603,7.7581654,0,4,0,4,8
19280,breyers,34.289917,-7.2934837,1,1,0,8,4
19282,breyers,-13.160616,-28.121523,1,1,4,5,3
19283,breyers,-32.03987,1.2389245,2,1,0,8,4
19285,breyers,22.428894,-21.948683,2,1,0,1,4
19289,breyers,-44.413036,4.4181194,2,2,0,4,6
19292,breyers,-17.282188,-20.822403,1,1,4,8,3
19293,breyers,35.103794,-6.8839164,2,1,0,8,4
19294,breyers,-21.34787,25.50968,2,2,4,8,6
19295,breyers,14.891792,-14.462049,3,1,4,5,4
